#
# Master CCSM experiment list
#
#  Columns   Field
#   1 -  45  CCSM case name
#  46 -  47  Location (NC = NCAR; NE = NERSC; OR = ORNL)
#  55 -  74  Very brief description and/or PCMDI name (N/A if not applicable)
#  75 -  76  Realization number (<=2 digits) (0 if not applicable)
#  80 -  82  Is a CMIP3 (cm3) or CMIP5 (cm5) experiment?
#  85 - 124  RUN_REFCASE (parent CCSM case)
# 130 - 139  RUN_REFDATE (branch date, yyyy-mm-dd)
# 145 - 148  Year began or YYYY if unknown
# 150 - 153  Year ended or YYYY if unknown
# 155-  174  GRID (resolution)
# 175 - 194  COMPSET (all "-" if missing)
# 195 - 224  REPOTAG (all "-" if missing)
# 225 - 239  MACH (hardware)
# 240 - end  DOUT_L_MSROOT (history file location on archive)
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#                                                                                                  1         1         1         1         1         1         1         1         1         1         2         2         2         2         2         2
#        1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
#CASE                                        loc      CMIP5 name          ##   CMIP RUN_REFCASE                                 RUN_REFDATE    BEGIN END  GRID                COMPSET             REPOTAG                       MACH           DOUT
b40.20th.track1.1deg.010                     NE       historical          7    cm5  b40.1850.track1.1deg.006                     0863-01-01     1850 2005 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta40                franklin       /home/c/ccsm/csm
b40.20th.track1.1deg.011.i1961               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1961-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i1966               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1966-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i1971               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1971-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i1976               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1976-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i1981               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1981-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i1986               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1986-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i1991               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1991-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i1996               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     1996-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011.i2001               OR       N/A                 XX   N/A  b40.20th.track1.1deg.011                     2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.20th.track1.1deg.011                     NC       historical          XX   cm5  b40.1850.track1.1deg.006                     0911-01-01     1850 2005 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta53                bluefire       /CCSM/csm
b40.20th.track1.1deg.012                     NC       historical          7    cm5  b40.1850.track1.1deg.006                     0953-01-01     1850 2005 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta53                bluefire       /CCSM/csm
b40.20th.track1.2deg.001                     NC       historical          1    cm5  b40.1850.track1.2deg.003                     0501-01-01     1850 2005 1.9x2.5_gx1v6       B20TRCN             ccsm4_0_beta46                bluefire       /CCSM/csm
b40.20th.track1.2deg.wcm.005                 NC       N/A                 XX   N/A  b40.20th.track1.1deg.005                     1974-01-01     YYYY YYYY 1.9x2.5_gx1v6       BW1974TR1CN         ccsm4_0_beta38                bluefire       /CCSM/csm
b40.20th.track1.2deg.wcm.007                 NC       historical          1    cm5  b40.1850.track1.2deg.wcm.007                 0156-01-01     1850 2005 1.9x2.5_gx1v6       BW20TRCN            ccsm4_0_beta52                bluefire       /CCSM/csm
b40.20th.volc.1deg.006                       NE       historicalVl        1    cm5  b40.1850.track1.1deg.006                     0893-01-01     1850 2005 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta50                franklin       /home/c/ccsm/csm
b40.20th.volc.1deg.007                       NE       historicalVl        2    cm5  b40.1850.track1.1deg.006                     0983-01-01     1850 2005 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta50                franklin       /home/c/ccsm/csm
b40.20th.volc.1deg.008                       NE       historicalVl        3    cm5  b40.1850.track1.1deg.006                     0937-01-01     1850 2005 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta56                franklin       /home/c/ccsm/csm
b40.20th.volc.1deg.011                       NE       historicalVl        4    cm5  b40.1850.track1.1deg.006                     0863-01-01     1850 2005 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta56                franklin       csm
b40.20th.volc.1deg.012                       NE       historicalVl        5    cm5  b40.1850.track1.1deg.006                     0953-01-01     1850 2005 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta56                franklin       /home/c/ccsm/csm
b40.6k.track1.1deg.001                       OR       N/A                 XX   N/A  b40.1850.track1.007                          0101-01-01     YYYY YYYY 0.9x1.25_gx1v6      B1850TR1            ccsm4_0_beta16                jaguar         /f2/ccsm/csm
b40.850hf.1deg.001                           NC       N/A                 XX   N/A  b40.1850.track1.1deg.006                     0301-01-01     YYYY YYYY 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta55                bluefire       /CCSM/csm
b40.abrupt4xco2.1deg.001                     NC       abrupt4xCO2         1    cm5  b40.1850.track1.1deg.006                     0251-01-01     1850 2000 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta45                bluefire       /CCSM/csm
b40.B2000                                    NE       N/A                 XX   N/A  b40.1850.track1.1deg.006                     0863-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta49                franklin       csm
b40.beta53.test                              NC       N/A                 XX   N/A  b40.1850.track1.1deg.006                     0863-01-01     YYYY YYYY 0.9x1.25_gx1v6      B1850CN             ccsm4_0_beta53                bluefire       $CCSMUSER/csm
b40.cam5.1deg.tst                            NC       N/A                 XX   N/A  case.std                                     0001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B1850C5             cesm1_0_beta08                bluefire       $CCSMUSER/csm
b40.cam5.2deg.tst                            NC       N/A                 XX   N/A  b40_1850_b53c_73f                            0057-01-01     YYYY YYYY 1.9x2.5_gx1v6       B1850C5             cesm1_0_beta08                bluefire       $CCSMUSER/csm
b40.chem.tst                                 NC       N/A                 XX   N/A  trk1_1deg_chm_1850_b55.01                    0086-01-01     YYYY YYYY 0.9x1.25_gx1v6      B1850CNCHM          cesm1_0_beta08                bluefire       $CCSMUSER/csm
b40.dp.da-2000.20C.1d.001                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.001                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.002                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.002                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.003                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.003                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.004                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.004                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.005                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.005                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.006                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.006                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.007                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.007                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.008                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.008                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.009                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.009                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.20C.1d.010                    OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.010                    2000-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.001                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.001                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.002                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.002                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.003                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.003                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.004                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.004                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.005                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.005                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.006                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.006                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.007                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.007                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.008                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.008                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.009                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.009                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2000.rcp4_5.1d.010                 OR       N/A                 XX   N/A  b40.dp.da-2000.20C.1d.010                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.001                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.001                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.002                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.002                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.003                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.003                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.004                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.004                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.005                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.005                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.006                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.006                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.007                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.007                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.008                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.008                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.009                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.009                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.20C.1d.010                    OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.010                    2001-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.001                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.001                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.002                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.002                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.003                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.003                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.004                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.004                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.005                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.005                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.006                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.006                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.007                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.007                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.008                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.008                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.009                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.009                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2001.rcp4_5.1d.010                 OR       N/A                 XX   N/A  b40.dp.da-2001.20C.1d.010                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.001                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.001                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.002                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.002                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.003                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.003                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.004                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.004                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.005                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.005                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.006                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.006                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.007                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.007                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.008                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.008                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.009                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.009                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.20C.1d.010                    OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.010                    2002-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.001                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.001                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.002                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.002                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.003                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.003                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.004                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.004                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.005                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.005                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.006                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.006                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.007                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.007                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.008                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.008                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.009                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.009                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2002.rcp4_5.1d.010                 OR       N/A                 XX   N/A  b40.dp.da-2002.20C.1d.010                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.001                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.001                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.002                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.002                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.003                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.003                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.004                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.004                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.005                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.005                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.006                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.006                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.007                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.007                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.008                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.008                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.009                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.009                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.20C.1d.010                    OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.010                    2003-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.001                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.001                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.002                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.002                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.003                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.003                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.004                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.004                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.005                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.005                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.006                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.006                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.007                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.007                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.008                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.008                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.009                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.009                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2003.rcp4_5.1d.010                 OR       N/A                 XX   N/A  b40.dp.da-2003.20C.1d.010                    2005-01-01     YYYY YYYY 0.9x1.25_gx1v6      BRCP45CN            ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
b40.dp.da-2004.20C.1d.001                    OR       N/A                 XX   N/A  b40.dp.da-2004.20C.1d.001                    2004-01-01     YYYY YYYY 0.9x1.25_gx1v6      B20TRCN             ccsm4_0_beta56                jaguarpf       /f2/ccsm/csm
