#
# Master CCSM experiment list
#
#  Columns   Field
#   1 -  45  CCSM case name
#  46 -  47  Location (NC = NCAR; NE = NERSC; OR = ORNL)
#  55 -  74  Very brief description and/or PCMDI name (N/A if not applicable)
#  75 -  76  Realization number (<=2 digits) (0 if not applicable)
#  80 -  82  Is a CMIP3 (cm3) or CMIP5 (cm5) experiment?
#  85 - 124  RUN_REFCASE (parent CCSM case)
# 130 - 139  RUN_REFDATE (branch date, yyyy-mm-dd)
# 145 - 148  Year began or YYYY if unknown
# 150 - 153  Year ended or YYYY if unknown
# 155-  174  GRID (resolution)
# 175 - 194  COMPSET (all "-" if missing)
# 195 - 224  REPOTAG (all "-" if missing)
# 225 - 239  MACH (hardware)
# 240 - end  DOUT_L_MSROOT (history file location on archive)
#
#---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#                                                                                                  1         1         1         1         1         1         1         1         1         1         2         2         2         2         2         2
#        1         2         3         4         5         6         7         8         9         0         1         2         3         4         5         6         7         8         9         0         1         2         3         4         5
#234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
#CASE                                        loc      CMIP5 name          ##   CMIP RUN_REFCASE                                 RUN_REFDATE    BEGIN END  GRID                COMPSET             REPOTAG                       MACH           DOUT
b30.040b                                     NC       SRESA1B             2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.040c                                     NC       SRESA1B             3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.040d                                     NC       SRESA1B             4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.040e                                     NC       SRESA1B             5    cm3  b30.030e                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.040b.ES01                                NC       SRESA1B             6    cm3  b30.030b.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.040f.ES01                                NC       SRESA1B             7    cm3  b30.030f.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.040g.ES01                                NC       SRESA1B             8    cm3  b30.030g.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.040g                                     NC       SRESA1B             9    cm3  b30.030g.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     JAMSTEC        /home/buja/mss/CCSM/csm
b30.041a                                     NC       SRESB1              1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.041b                                     NC       SRESB1              2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.041c                                     NC       SRESB1              3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.041d                                     NC       SRESB1              4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.041e                                     NC       SRESB1              5    cm3  b30.030e                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.041b.ES01                                NC       SRESB1              6    cm3  b30.030b.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.041f.ES01                                NC       SRESB1              7    cm3  b30.030f.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.041g.ES01                                NC       SRESB1              8    cm3  b30.030g.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.041g                                     NC       SRESB1              9    cm3  b30.030g.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.042a                                     NE       SRESA2              1    cm3  b30.030a                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     seaborg        /nersc/h/hteng/ccsm
b30.042b                                     NE       SRESA2              2    cm3  b30.030b                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     seaborg        /nersc/h/hteng/ccsm
b30.042c                                     NE       SRESA2              3    cm3  b30.030c                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     seaborg        /nersc/h/hteng/ccsm
b30.042d                                     NE       SRESA2              4    cm3  b30.030d                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     seaborg        /nersc/h/hteng/ccsm
b30.042e                                     NE       SRESA2              5    cm3  b30.030e                                     2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     seaborg        /nersc/h/hteng/ccsm
b30.042g                                     NC       SRESA1B             10   cm3  b30.030g.ES01                                2000-01-01     2000 2099 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.043                                      NC       PIcntrl             1    N/A  b30.100.02                                   0400-01-01     0400 0700 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.044a                                     NC       SRESA1B             1    cm3  b30.040a                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.044b                                     NC       SRESA1B             2    cm3  b30.040b                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.044c                                     NC       SRESA1B             3    cm3  b30.040c                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.044d                                     NC       SRESA1B             4    cm3  b30.040d                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.044e                                     NC       SRESA1B             5    cm3  b30.040e                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.044b.ES01                                NC       SRESA1B             6    cm3  b30.040b.ES01                                2100-01-01     2100 2449 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.044f.ES01                                NC       SRESA1B             7    cm3  b30.040f.ES01                                2100-01-01     2100 2349 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.044g.ES01                                NC       SRESA1B             8    cm3  b30.040g.ES01                                2100-01-01     2100 2349 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.044g                                     NC       SRESA1B             9    cm3  b30.040g                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     jaguar         /f2/hteng/mss/CCSM/csm
b30.045a                                     NC       SRESB1              1    cm3  b30.041a                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.045b                                     NC       SRESB1              2    cm3  b30.041b                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.045c                                     NC       SRESB1              3    cm3  b30.041c                                     2100-01-01     2100 2199 T85_gx1             ----------------    -------------------------     cheetah        /home/buja/mss/CCSM/csm
b30.045b.ES01                                NC       SRESB1              6    cm3  b30.041b.ES01                                2100-01-01     2100 2449 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.045f.ES01                                NC       SRESB1              7    cm3  b30.041f.ES01                                2100-01-01     2100 2349 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.045g.ES01                                NC       SRESB1              8    cm3  b30.041g.ES01                                2100-01-01     2100 2349 T85_gx1             ----------------    -------------------------     JAMSTEC        /CCSM/csm
b30.048                                      NC       PIcntrl             1    N/A  none                                         0400-01-01     0400 0553 T31_gx3             ----------------    -------------------------     bluesky        /CCSM/csm
b30.053a                                     NE       20C3M_bc            1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     seaborg        /nersc/mp9/adrianne/ccsm
b30.053b                                     NE       20C3M_bc            2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     seaborg        /nersc/mp9/adrianne/ccsm
b30.053c                                     NE       20C3M_bc            3    cm3  b30.020                                      0400-01-01     1870 1999 T85_gx1             ----------------    -------------------------     seaborg        /nersc/mp9/adrianne/ccsm
b30.053d                                     NE       20C3M_bc            4    cm3  b30.020                                      0420-01-01     1870 1999 T85_gx1             ----------------    -------------------------     seaborg        /nersc/mp9/adrianne/ccsm
b30.053e                                     NE       20C3M_bc            5    cm3  b30.020                                      0440-01-01     1870 1999 T85_gx1             ----------------    -------------------------     seaborg        /nersc/mp9/adrianne/ccsm
b30.072a                                     NC       20C3M_nat           1    cm3  b30.020                                      0360-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.072b                                     NC       20C3M_nat           2    cm3  b30.020                                      0380-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.072c                                     NC       20C3M_nat           3    cm3  b30.020                                      0400-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.072d                                     NC       20C3M_nat           4    cm3  b30.020                                      0420-01-01     1870 1999 T85_gx1             ----------------    -------------------------     phoenix        /f2/adrianne/ccsm
b30.072e                                     NE       20C3M_nat           5    cm3  b30.020                                      0440-01-01     1870 1999 T85_gx1             ----------------    -------------------------     bassi          /nersc/mp9/adrianne/ccsm
b30.074a                                     NE       20C3M               1    cm3  b30.043                                      0541-01-01     1870 1999 T42_gx1             ----------------    -------------------------     bassi          /nersc/h/hteng/ccsm
b30.075-01                                   NC       SRESA1B             1    cm3  b30.074a                                     2000-01-01     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-02                                   NC       SRESA1B             2    cm3  b30.074a                                     1999-12-03     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-03                                   NC       SRESA1B             3    cm3  b30.074a                                     1999-12-05     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-04                                   NC       SRESA1B             4    cm3  b30.074a                                     1999-12-07     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-05                                   NC       SRESA1B             5    cm3  b30.074a                                     1999-12-09     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-06                                   NC       SRESA1B             6    cm3  b30.074a                                     1999-12-11     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-07                                   NC       SRESA1B             7    cm3  b30.074a                                     1999-12-13     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-08                                   NC       SRESA1B             8    cm3  b30.074a                                     1999-12-15     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-09                                   NC       SRESA1B             9    cm3  b30.074a                                     1999-12-17     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-10                                   NC       SRESA1B             10   cm3  b30.074a                                     1999-12-18     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-11                                   NC       SRESA1B             11   cm3  b30.074a                                     1999-12-19     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-12                                   NC       SRESA1B             12   cm3  b30.074a                                     1999-12-20     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-13                                   NC       SRESA1B             13   cm3  b30.074a                                     1999-12-21     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-14                                   NC       SRESA1B             14   cm3  b30.074a                                     1999-12-22     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-15                                   NC       SRESA1B             15   cm3  b30.074a                                     1999-12-23     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-16                                   NC       SRESA1B             16   cm3  b30.074a                                     1999-12-24     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-17                                   NC       SRESA1B             17   cm3  b30.074a                                     1999-12-25     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-18                                   NC       SRESA1B             18   cm3  b30.074a                                     1999-12-26     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-19                                   NC       SRESA1B             19   cm3  b30.074a                                     1999-12-27     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-20                                   NC       SRESA1B             20   cm3  b30.074a                                     1999-12-28     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
b30.075-21                                   NC       SRESA1B             21   cm3  b30.074a                                     1999-12-29     2000 2061 T42_gx1             ----------------    -------------------------     bluesky        /CCSM/csm
